TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
0,0,0,47,0,47,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,72,0,72,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,68,0,68,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,21,0,21,0,0,0,7,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,16,0,16,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,182,0,182,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,20,0,20,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,8,0,8,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,10,0,10,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,15,0,15,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,10,0,10,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,87,0,87,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,231,0,231,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,13,0,13,0,0,0,7,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,15,0,15,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,4,0,10,0,10,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,71,0,71,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,34,0,34,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,2,0,0,0,12,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,9,0,9,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,51,0,51,0,0,0,6,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,79,0,79,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,9,0,20,0,20,0,0,0,6,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,120,0,120,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,10,0,10,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,60,0,60,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,86,0,86,0,0,0,25,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,4,0,4,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,40,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,98,0,98,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,11,0,11,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,31,0,31,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,107,0,107,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,19,0,19,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,56,0,56,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,4,0,22,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,3,0,3,0,0,0,6,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,128,0,128,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,5,0,53,0,53,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,4,0,134,0,134,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,23,0,23,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,78,0,78,0,0,0,10,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,18,0,18,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,18,0,18,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,7,0,7,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,38,0,38,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,10,0,10,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,10,0,22,0,22,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,12,0,12,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,29,0,29,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,26,0,26,0,0,0,9,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,8,0,8,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,29,0,29,0,0,0,8,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,79,0,79,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,7,0,7,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,0,0,16,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,6,0,119,0,119,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,3,0,3,0,0,0,13,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,48,0,48,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,0,0,5,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,9,0,113,0,113,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,46,0,46,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,82,0,82,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,100,0,100,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,36,0,36,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,4,0,4,0,0,0,7,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,14,0,14,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,11,0,11,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,35,0,35,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,40,0,40,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,150,0,150,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,49,0,49,0,0,0,7,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,17,0,17,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,43,0,43,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,38,0,38,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,86,0,86,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,22,0,22,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,4,0,97,0,97,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,33,0,33,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,3,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,1,0,136,0,136,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,29,0,29,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,18,0,18,0,0,0,5,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,8,0,100,0,100,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,5,0,90,0,90,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,50,0,50,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,91,0,91,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,52,0,52,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,127,0,127,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,3,0,3,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,15,0,15,0,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,5,0,37,0,37,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,0,0,272,0,272,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,3,0,30,0,30,0,0,0,3,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
0,2,0,73,0,73,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1
