TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
0,0,0,9,58,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,4,1,78,0,6,0,0,0,4,0,4,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,2,47,0,5,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,21,25,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,1,0,338,0,1,0,0,0,3,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,90,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,151,0,8,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,12,155,0,3,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,19,59,0,2,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,0,2,22,0,0,0,1,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,5,135,0,2,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,23,191,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,8,111,0,3,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,4,0,6,13,0,2,0,0,0,5,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,1,0,10,0,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,7,72,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,1,20,77,0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,2,60,0,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,6,0,3,194,0,7,0,2,0,6,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,4,1,0,56,0,1,0,1,0,6,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,91,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,13,181,0,2,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,4,0,0,3,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,28,46,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,43,75,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,1,0,33,0,3,0,3,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,4,297,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,3,215,0,5,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,15,1,0,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,39,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,1,9,42,0,1,0,0,0,2,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,4,0,5,65,0,0,0,0,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,2,0,91,0,5,0,1,0,2,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,40,0,4,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,4,0,4,66,0,2,0,1,0,6,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,0,2,32,0,7,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,3,0,16,18,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,11,155,0,2,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,5,135,0,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,0,1,20,150,0,5,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,18,16,0,1,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,2,0,3,7,0,4,0,4,0,4,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
0,1,0,3,27,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0
