"Adv S Never Verb O1 O2 P O3
","['p4', 'p11', 'p12']"
"Not Verb O1
","['p4', 'p8', 'p11', 'p12']"
"S[+WH] Aux Never Verb Adv
","['p4', 'p8', 'p11', 'p12']"
"S Aux Verb O1 O2 P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"O1 S Aux Verb P O3
","['p4', 'p11', 'p12']"
"O1 S Verb O2 P O3 Adv
","['p4', 'p11', 'p12']"
"O2 S Aux Never Verb O1
","['p4', 'p11', 'p12']"
"O1 S Aux Verb O2 Adv
","['p4', 'p11', 'p12']"
"S[+WH] Aux Never Verb
","['p4', 'p8', 'p11', 'p12']"
"S Aux Verb O1 P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"Adv S Aux Verb
","['p4', 'p11']"
"O1 S Never Verb O2 Adv
","['p4', 'p11', 'p12']"
"S[+WH] Aux Never Verb O1 O2 Adv
","['p4', 'p8', 'p11', 'p12']"
"Aux S Not Verb O1 P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"O2 S Aux Verb O1 P O3
","['p4', 'p11', 'p12']"
"O1 S Aux Not Verb
","['p4', 'p11', 'p12']"
"Adv[+WH] Aux S Never Verb O1 O2
","['p4', 'p8', 'p11', 'p12']"
"S Never Verb O1 O2
","['p4', 'p8', 'p11', 'p12']"
"Adv[+WH] Aux S Never Verb O1 O2 P O3
","['p4', 'p8', 'p11', 'p12']"
"O3 S Aux Never Verb O1 O2 P Adv
","['p4', 'p8', 'p11', 'p12']"
"S Verb O1 P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"O1[+WH] Aux S Not Verb O2 P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"S Never Verb O1 O2 P O3
","['p4', 'p8', 'p11', 'p12']"
"Aux S Verb O1 P O3
","['p4', 'p8', 'p11', 'p12']"
"S Aux Never Verb O1 P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"O1 S Aux Verb O2
","['p4', 'p11', 'p12']"
"O1[+WH] Aux S Never Verb O2 Adv
","['p4', 'p8', 'p11', 'p12']"
"Not Verb O1 P O3
","['p4', 'p8', 'p11', 'p12']"
"O3 S Never Verb P Adv
","['p4', 'p8', 'p11', 'p12']"
"O3[+WH] Aux S Never Verb O1 O2 P
","['p4', 'p8', 'p11', 'p12']"
"O3[+WH] Aux S Not Verb P Adv
","['p4', 'p8', 'p11', 'p12']"
"O3[+WH] Aux S Verb O1 P
","['p4', 'p8', 'p11', 'p12']"
"O3 S Aux Not Verb P
","['p4', 'p8', 'p11', 'p12']"
"O1[+WH] Aux S Never Verb P O3
","['p4', 'p8', 'p11', 'p12']"
"S Aux Never Verb O1 P O3
","['p4', 'p8', 'p11', 'p12']"
"O3 S Aux Never Verb P
","['p4', 'p8', 'p11', 'p12']"
"S Verb P O3 Adv
","['p4', 'p8', 'p11', 'p12']"
"Not Verb
","['p4', 'p8', 'p11', 'p12']"
"O3[+WH] Aux S Not Verb O1 O2 P Adv
","['p4', 'p8', 'p11', 'p12']"
"O3 S Never Verb O1 P
","['p4', 'p8', 'p11', 'p12']"
"Aux S Not Verb O1 Adv
","['p4', 'p8', 'p11', 'p12']"
"S Aux Never Verb
","['p4', 'p8', 'p11', 'p12']"
"S Aux Verb
","['p4', 'p8', 'p11', 'p12']"
