observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,0,0,0,0,0,0,0,0,0,15,0,2, ""
eChild #2,0,0,0,0,0,0,0,0,0,8,54,0,2, ""
eChild #3,0,0,0,1,0,0,0,0,0,2,7,0,0, ""
eChild #4,0,0,0,0,0,0,0,0,0,8,12,0,3, ""
eChild #5,0,0,0,0,0,0,0,0,0,0,20,0,2, ""
eChild #6,0,0,0,0,0,0,0,0,0,1,10,0,3, ""
eChild #7,0,0,0,0,0,0,0,0,0,0,11,0,3, ""
eChild #8,0,0,0,0,0,0,0,0,0,1,14,0,2, ""
eChild #9,0,0,0,0,0,0,0,0,0,4,2,0,3, ""
eChild #10,0,0,0,1,0,0,0,0,0,8,5,0,0, ""
eChild #11,0,0,0,6,0,0,0,0,0,1,3,0,0, ""
eChild #12,0,0,0,2,0,0,0,0,0,9,25,0,0, ""
eChild #13,0,0,0,0,0,0,0,0,0,6,1,0,5, ""
eChild #14,0,0,0,1,0,0,0,0,0,7,4,0,0, ""
eChild #15,0,0,0,0,0,0,0,0,0,7,26,0,4, ""
eChild #16,0,0,0,0,0,0,0,0,0,14,5,0,2, ""
eChild #17,0,0,0,0,0,0,0,0,0,4,6,0,4, ""
eChild #18,0,0,0,0,0,0,0,0,0,6,10,0,1, ""
eChild #19,0,0,0,0,0,0,0,0,0,4,10,0,1, ""
eChild #20,0,0,0,1,0,0,0,0,0,4,5,0,0, ""
observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,0,0,0,0,0,0,0,0,10,3,0,2, ""
eChild #2,0,0,0,0,0,0,0,0,0,2,24,0,2, ""
eChild #3,0,0,0,2,0,0,0,0,0,11,0,0,1, ""
eChild #4,0,0,0,0,0,0,0,0,0,0,20,0,2, ""
eChild #5,0,0,0,1,0,0,0,0,0,1,4,0,0, ""
eChild #6,0,0,0,1,0,0,0,0,0,5,21,0,0, ""
eChild #7,0,0,0,1,0,0,0,0,0,1,10,0,0, ""
eChild #8,0,0,0,2,0,0,0,0,0,3,9,0,0, ""
eChild #9,0,0,0,0,0,0,0,0,0,4,3,0,5, ""
eChild #10,0,0,0,0,0,0,0,0,0,7,71,0,1, ""
eChild #11,0,0,0,0,0,0,0,0,0,0,10,0,2, ""
eChild #12,0,0,0,1,0,0,0,0,0,2,16,0,0, ""
eChild #13,0,0,0,0,0,0,0,0,0,1,9,0,1, ""
eChild #14,0,0,0,2,0,0,0,0,0,2,5,0,1, ""
eChild #15,0,0,0,0,0,0,0,0,0,2,7,0,17, ""
eChild #16,0,0,0,2,0,0,0,0,0,13,9,0,0, ""
eChild #17,0,0,0,0,0,0,0,0,0,3,6,0,1, ""
eChild #18,0,0,0,1,0,0,0,0,0,5,4,0,0, ""
eChild #19,0,0,0,0,0,0,0,0,0,2,5,0,4, ""
eChild #20,0,0,0,0,0,0,0,0,0,0,4,0,2, ""
