Grammar Learned?,Learned Grammar,Expected Grammar,Total Time
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.00026798248291015625
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0051729679107666016
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0007529258728027344
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0054819583892822266
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0003921985626220703
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0023849010467529297
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0013058185577392578
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0038938522338867188
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0003619194030761719
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0004341602325439453
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.00024199485778808594
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.004367828369140625
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0003190040588378906
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0004811286926269531
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0011768341064453125
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.001661062240600586
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0018320083618164062
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.002341032028198242
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0018749237060546875
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0007739067077636719
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0021550655364990234
True,"['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']","['0', '1', '0', '0', '0', '1', '1', '0', '0', '1', '1', '0', '1']",0.0029480457305908203
