eChild#0 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#1 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#2 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#3 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#4 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#5 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#6 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#7 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#8 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#9 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#10 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#11 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#12 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#13 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#14 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#15 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#16 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#17 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#18 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#19 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#20 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#21 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#22 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#23 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#24 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#25 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#26 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#27 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#28 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#29 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#30 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#31 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#32 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#33 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#34 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#35 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#36 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#37 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#38 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#39 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#40 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#41 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#42 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#43 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#44 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#45 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#46 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#47 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#48 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#49 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#50 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#51 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#52 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#53 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#54 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#55 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#56 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#57 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#58 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#59 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#60 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#61 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#62 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#63 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#64 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#65 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#66 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#67 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#68 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#69 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#70 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#71 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#72 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#73 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#74 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#75 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#76 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#77 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#78 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#79 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#80 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#81 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#82 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#83 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#84 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#85 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#86 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#87 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#88 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#89 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#90 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#91 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#92 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#93 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#94 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#95 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#96 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#97 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#98 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#0 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#1 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
eChild#2 ['0', '0', '0', '1', '0', '0', '1', '1', '0', '0', '0', '0', '1'] 
