TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,2,1,53,1,13,1,1,5,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,171,1,17,1,1,5,20,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,3,1,133,1,11,1,1,3,19,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,87,1,1,1,1,1,2,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,100,1,3,1,1,8,25,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,51,1,4,1,1,15,10,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,99,1,34,1,1,6,8,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,4,1,7,1,1,1,28,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,10,1,15,1,1,9,24,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,3,1,13,1,23,1,1,10,11,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,98,1,1,1,1,29,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,32,1,53,1,1,8,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,11,1,2,1,1,1,12,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,21,1,6,1,1,7,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,20,1,8,1,1,5,37,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,17,1,2,1,1,2,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,111,1,34,1,1,6,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,18,1,9,1,1,3,6,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,23,1,14,1,1,12,4,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,20,1,3,1,1,3,15,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,20,1,2,1,1,2,24,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,70,1,3,1,1,3,6,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,39,1,27,1,1,10,8,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,10,1,26,1,1,6,5,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,32,1,10,1,1,1,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,134,1,33,1,1,6,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,21,1,28,1,1,5,16,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,126,1,3,1,1,6,4,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,42,1,15,1,1,3,14,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,7,1,24,1,1,2,13,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,56,1,5,1,1,13,4,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,34,1,3,1,1,3,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,56,1,22,1,1,12,16,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,19,1,25,1,1,2,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,64,1,4,1,1,10,2,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,4,1,23,1,1,9,2,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,10,1,3,1,1,9,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,12,1,13,1,1,2,5,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,9,1,6,1,1,4,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,20,1,30,1,1,51,10,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,25,1,7,1,1,2,9,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,5,1,7,1,1,20,19,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,95,1,18,1,1,18,9,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,11,1,4,1,1,4,9,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,37,1,1,1,1,10,2,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,15,1,18,1,1,1,22,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,180,1,1,1,1,7,3,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,12,1,2,1,1,13,5,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,2,1,49,1,6,1,1,4,2,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,1,1,19,1,1,10,21,1,0,0,0,0,0,1,1,1,0,0,0,1,1
1,1,1,1,1,62,1,23,1,1,7,12,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,5,1,7,1,10,1,1,16,12,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,8,1,5,1,1,4,72,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,25,1,11,1,1,5,18,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,4,1,55,1,23,1,1,7,16,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,33,1,2,1,1,7,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1
1,1,1,1,1,20,1,19,1,1,11,19,1,0,0,0,1,0,1,1,1,0,0,0,1,1
