p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,2,1,68,1,28,1,1,3,11,1
1,1,1,2,1,93,1,5,1,1,6,20,1
1,1,1,1,1,57,1,10,1,1,8,2,1
1,1,1,2,1,77,1,15,1,1,4,9,1
1,1,1,2,1,8,1,31,1,1,26,14,1
1,1,1,4,1,151,1,14,1,1,4,10,1
1,1,1,1,1,40,1,16,1,1,16,10,1
1,1,1,1,1,24,1,27,1,1,14,11,1
1,1,1,1,1,5,1,1,1,1,6,2,1
1,1,1,2,1,3,1,5,1,1,7,9,1
1,1,1,1,1,111,1,7,1,1,1,17,1
1,1,1,1,1,30,1,7,1,1,3,5,1
1,1,1,1,1,14,1,15,1,1,9,8,1
1,1,1,1,1,111,1,3,1,1,3,4,1
1,1,1,2,1,21,1,14,1,1,4,3,1
1,1,1,1,1,60,1,2,1,1,2,20,1
1,1,1,1,1,1,1,2,1,1,4,35,1
1,1,1,2,1,9,1,2,1,1,37,7,1
1,1,1,1,1,27,1,4,1,1,4,15,1
1,1,1,4,1,62,1,2,1,1,6,4,1
1,1,1,1,1,57,1,1,1,1,1,14,1
1,1,1,1,1,9,1,1,1,1,1,20,1
1,1,1,2,1,11,1,2,1,1,19,10,1
1,1,1,1,1,62,1,5,1,1,16,5,1
1,1,1,1,1,61,1,11,1,1,11,25,1
1,1,1,1,1,26,1,39,1,1,4,1,1
1,1,1,1,1,21,1,7,1,1,6,3,1
1,1,1,1,1,11,1,1,1,1,1,3,1
1,1,1,1,1,5,1,6,1,1,10,7,1
1,1,1,1,1,19,1,6,1,1,4,26,1
1,1,1,1,1,159,1,10,1,1,10,13,1
1,1,1,3,1,48,1,33,1,1,9,3,1
1,1,1,3,1,8,1,28,1,1,3,16,1
1,1,1,3,1,133,1,3,1,1,3,11,1
1,1,1,1,1,2,1,13,1,1,1,15,1
1,1,1,1,1,114,1,8,1,1,9,8,1
1,1,1,1,1,32,1,22,1,1,23,5,1
1,1,1,1,1,43,1,10,1,1,7,14,1
1,1,1,1,1,110,1,5,1,1,8,5,1
1,1,1,1,1,1,1,32,1,1,18,35,1
1,1,1,1,1,99,1,2,1,1,2,1,1
1,1,1,1,1,10,1,13,1,1,1,7,1
1,1,1,1,1,90,1,12,1,1,14,12,1
1,1,1,2,1,27,1,4,1,1,6,2,1
1,1,1,3,1,64,1,2,1,1,3,6,1
1,1,1,1,1,8,1,3,1,1,3,5,1
1,1,1,1,1,38,1,1,1,1,1,5,1
1,1,1,1,1,52,1,5,1,1,2,9,1
1,1,1,1,1,11,1,4,1,1,4,2,1
1,1,1,1,1,51,1,10,1,1,10,5,1
1,1,1,2,1,136,1,9,1,1,5,9,1
1,1,1,2,1,16,1,17,1,1,5,3,1
1,1,1,1,1,35,1,19,1,1,6,11,1
1,1,1,1,1,2,1,13,1,1,33,6,1
1,1,1,2,1,13,1,26,1,1,7,39,1
1,1,1,1,1,2,1,15,1,1,12,1,1
1,1,1,1,1,57,1,7,1,1,2,17,1
1,1,1,1,1,49,1,19,1,1,9,7,1
1,1,1,2,1,23,1,5,1,1,2,5,1
1,1,1,1,1,61,1,11,1,1,15,1,1
1,1,1,1,1,29,1,8,1,1,8,5,1
1,1,1,1,1,105,1,14,1,1,6,4,1
1,1,1,2,1,19,1,20,1,1,3,16,1
1,1,1,1,1,17,1,2,1,1,5,27,1
1,1,1,1,1,37,1,9,1,1,1,8,1
1,1,1,1,1,16,1,4,1,1,4,1,1
1,1,1,1,1,40,1,32,1,1,3,22,1
1,1,1,1,1,48,1,1,1,1,3,4,1
1,1,1,1,1,1,1,2,1,1,4,8,1
1,1,1,2,1,80,1,2,1,1,2,5,1
1,1,1,1,1,45,1,22,1,1,8,4,1
1,1,1,3,1,12,1,4,1,1,3,5,1
1,1,1,1,1,77,1,12,1,1,7,15,1
1,1,1,1,1,93,1,19,1,1,2,4,1
1,1,1,1,1,84,1,19,1,1,12,7,1
1,1,1,1,1,2,1,10,1,1,10,5,1
1,1,1,1,1,59,1,44,1,1,10,5,1
1,1,1,1,1,49,1,26,1,1,1,29,1
1,1,1,1,1,10,1,8,1,1,4,19,1
1,1,1,1,1,1,1,36,1,1,9,20,1
1,1,1,1,1,49,1,57,1,1,2,18,1
1,1,1,1,1,84,1,4,1,1,1,13,1
1,1,1,3,1,45,1,4,1,1,4,51,1
1,1,1,1,1,34,1,1,1,1,2,1,1
1,1,1,1,1,2,1,30,1,1,19,8,1
1,1,1,4,1,13,1,42,1,1,7,11,1
1,1,1,1,1,7,1,26,1,1,3,14,1
1,1,1,1,1,96,1,6,1,1,2,16,1
1,1,1,2,1,8,1,6,1,1,2,3,1
1,1,1,1,1,10,1,34,1,1,5,14,1
1,1,1,1,1,158,1,24,1,1,16,2,1
1,1,1,1,1,191,1,3,1,1,19,3,1
1,1,1,1,1,69,1,21,1,1,2,17,1
1,1,1,1,1,20,1,13,1,1,3,6,1
1,1,1,1,1,15,1,5,1,1,2,1,1
1,1,1,2,1,7,1,5,1,1,18,9,1
1,1,1,2,1,59,1,11,1,1,10,24,1
1,1,1,2,1,12,1,13,1,1,3,2,1
1,1,1,1,1,9,1,18,1,1,10,22,1
1,1,1,1,1,84,1,3,1,1,2,9,1
