p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,0,1,3,0,0,0,0,0
0,0,0,0,0,0,4,0,0,0,0,0,0
0,0,0,0,0,0,10,1,0,0,0,0,0
0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,21,2,0,1,0,0,0
0,0,0,0,0,0,1,0,0,3,0,0,0
0,0,0,0,0,0,3,0,0,1,0,0,0
0,0,0,0,0,0,28,1,0,2,0,0,0
0,0,0,0,0,0,6,0,0,1,0,0,0
0,0,0,0,0,0,14,0,0,0,0,0,0
0,0,0,0,0,0,1,2,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,5,2,0,0,0,0,0
0,0,0,0,0,0,17,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,9,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,1,0,0,0
0,0,0,0,0,0,4,1,0,0,0,0,0
0,0,0,0,0,0,38,0,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,10,3,0,1,0,0,0
0,0,0,0,0,0,13,3,0,0,0,0,0
0,0,0,0,0,0,20,3,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,13,3,0,2,0,0,0
0,0,0,0,0,0,20,0,0,0,0,0,0
0,0,0,0,0,0,7,2,0,0,0,0,0
0,0,0,0,0,0,4,7,0,3,0,0,0
0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,0,9,2,0,3,0,0,0
0,0,0,0,0,0,3,1,0,0,0,0,0
0,0,0,0,0,0,2,1,0,0,0,0,0
0,0,0,0,0,0,16,0,0,0,0,0,0
0,0,0,0,0,0,6,2,0,1,0,0,0
0,0,0,0,0,0,3,0,0,0,0,0,0
0,0,0,0,0,0,18,2,0,2,0,0,0
0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,8,0,0,0,0,0,0
0,0,0,0,0,0,22,0,0,0,0,0,0
0,0,0,0,0,0,3,0,0,1,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,7,2,0,0,0,0,0
0,0,0,0,0,0,6,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,10,2,0,0,0,0,0
0,0,0,0,0,0,2,5,0,2,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,3,2,0,0,0,0,0
0,0,0,0,0,0,10,0,0,0,0,0,0
0,0,0,0,0,0,13,1,0,0,0,0,0
0,0,0,0,0,0,3,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,5,0,0,1,0,0,0
0,0,0,0,0,0,7,3,0,0,0,0,0
0,0,0,0,0,0,31,0,0,1,0,0,0
