p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,3,1,30,1,1,1,7,1,1,2
1,1,1,6,1,30,1,1,1,2,1,1,2
1,1,1,2,1,64,1,1,1,19,1,1,1
1,1,1,1,1,31,1,1,1,1,1,1,5
1,1,1,1,1,38,1,1,1,9,1,1,6
1,1,1,1,1,2,1,1,1,3,1,1,1
1,1,1,1,1,23,1,1,1,6,1,1,2
1,1,1,1,1,24,1,1,1,10,1,1,5
1,1,1,2,1,12,1,1,1,1,1,1,1
1,1,1,3,1,32,1,1,1,2,1,1,1
1,1,1,2,1,9,1,1,1,13,1,1,1
1,1,1,1,1,71,1,1,1,5,1,1,2
1,1,1,1,1,3,1,1,1,5,1,1,1
1,1,1,1,1,12,1,1,1,6,1,1,3
1,1,1,1,1,10,1,1,1,1,1,1,5
1,1,1,3,1,5,1,1,1,2,1,1,1
1,1,1,2,1,42,1,1,1,13,1,1,1
1,1,1,5,1,9,1,1,1,6,1,1,2
1,1,1,4,1,6,1,1,1,1,1,1,3
1,1,1,3,1,11,1,1,1,6,1,1,4
1,1,1,1,1,48,1,1,1,1,1,1,2
1,1,1,1,1,2,1,1,1,6,1,1,2
1,1,1,1,1,31,1,1,1,1,1,1,2
1,1,1,2,1,47,1,1,1,7,1,1,4
1,1,1,1,1,14,1,1,1,5,1,1,4
1,1,1,1,1,7,1,1,1,1,1,1,2
1,1,1,1,1,26,1,1,1,6,1,1,12
1,1,1,1,1,5,1,1,1,4,1,1,5
1,1,1,2,1,110,1,1,1,8,1,1,7
1,1,1,1,1,174,1,1,1,4,1,1,2
1,1,1,1,1,60,1,1,1,9,1,1,7
1,1,1,2,1,21,1,1,1,1,1,1,1
1,1,1,2,1,51,1,1,1,6,1,1,4
1,1,1,3,1,21,1,1,1,3,1,1,1
1,1,1,3,1,20,1,1,1,1,1,1,1
1,1,1,1,1,33,1,1,1,11,1,1,6
1,1,1,4,1,24,1,1,1,1,1,1,1
1,1,1,1,1,11,1,1,1,4,1,1,6
1,1,1,1,1,4,1,1,1,9,1,1,3
1,1,1,1,1,30,1,1,1,4,1,1,4
1,1,1,5,1,33,1,1,1,12,1,1,1
1,1,1,3,1,50,1,1,1,7,1,1,1
1,1,1,2,1,18,1,1,1,9,1,1,1
1,1,1,2,1,78,1,1,1,6,1,1,1
1,1,1,1,1,51,1,1,1,10,1,1,5
1,1,1,1,1,47,1,1,1,5,1,1,2
1,1,1,2,1,32,1,1,1,6,1,1,1
1,1,1,1,1,8,1,1,1,4,1,1,4
1,1,1,2,1,19,1,1,1,6,1,1,1
1,1,1,1,1,1,1,1,1,13,1,1,1
1,1,1,1,1,72,1,1,1,1,1,1,3
1,1,1,9,1,17,1,1,1,4,1,1,2
1,1,1,1,1,55,1,1,1,13,1,1,5
1,1,1,1,1,4,1,1,1,3,1,1,4
1,1,1,4,1,47,1,1,1,4,1,1,1
1,1,1,1,1,33,1,1,1,1,1,1,3
1,1,1,1,1,119,1,1,1,7,1,1,15
1,1,1,1,1,17,1,1,1,5,1,1,3
1,1,1,2,1,16,1,1,1,3,1,1,3
1,1,1,3,1,9,1,1,1,1,1,1,1
1,1,1,2,1,3,1,1,1,12,1,1,1
1,1,1,1,1,42,1,1,1,9,1,1,7
1,1,1,2,1,5,1,1,1,6,1,1,1
1,1,1,1,1,35,1,1,1,5,1,1,2
1,1,1,5,1,14,1,1,1,3,1,1,1
1,1,1,2,1,47,1,1,1,17,1,1,1
1,1,1,2,1,42,1,1,1,4,1,1,3
1,1,1,1,1,22,1,1,1,2,1,1,3
1,1,1,2,1,11,1,1,1,7,1,1,5
1,1,1,2,1,18,1,1,1,1,1,1,1
1,1,1,5,1,73,1,1,1,2,1,1,2
1,1,1,1,1,30,1,1,1,3,1,1,3
1,1,1,3,1,17,1,1,1,4,1,1,1
1,1,1,2,1,19,1,1,1,3,1,1,1
1,1,1,1,1,2,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,8,1,1,1
1,1,1,1,1,7,1,1,1,3,1,1,7
1,1,1,3,1,7,1,1,1,12,1,1,1
1,1,1,4,1,58,1,1,1,5,1,1,3
1,1,1,1,1,15,1,1,1,4,1,1,3
1,1,1,1,1,62,1,1,1,11,1,1,5
1,1,1,1,1,23,1,1,1,5,1,1,4
1,1,1,1,1,68,1,1,1,4,1,1,4
1,1,1,2,1,32,1,1,1,10,1,1,1
1,1,1,2,1,4,1,1,1,7,1,1,1
1,1,1,6,1,23,1,1,1,7,1,1,4
1,1,1,2,1,24,1,1,1,1,1,1,1
1,1,1,1,1,18,1,1,1,4,1,1,4
1,1,1,1,1,64,1,1,1,11,1,1,3
1,1,1,2,1,10,1,1,1,14,1,1,1
1,1,1,1,1,20,1,1,1,3,1,1,3
1,1,1,1,1,5,1,1,1,1,1,1,2
1,1,1,1,1,18,1,1,1,3,1,1,2
1,1,1,1,1,63,1,1,1,4,1,1,4
1,1,1,5,1,16,1,1,1,1,1,1,1
1,1,1,1,1,7,1,1,1,3,1,1,3
1,1,1,3,1,89,1,1,1,17,1,1,1
1,1,1,2,1,40,1,1,1,7,1,1,1
1,1,1,3,1,41,1,1,1,3,1,1,1
1,1,1,2,1,72,1,1,1,9,1,1,8
