TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,3,1,46,1,1,1,10,9,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,39,1,1,1,4,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,15,1,1,1,2,6,1,5,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,4,1,32,1,1,1,1,15,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,10,1,1,1,2,3,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,2,3,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,1,1,27,1,1,1,1,14,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,10,1,1,1,5,11,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,67,1,1,1,15,10,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,4,1,105,1,1,1,1,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,9,2,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,2,1,40,1,1,1,8,4,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,41,1,1,1,4,26,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,13,1,1,1,12,17,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,49,1,1,1,7,2,1,5,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,79,1,1,1,1,5,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,24,1,1,1,3,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,7,1,1,1,2,15,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,20,1,1,1,2,9,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,6,1,1,1,5,2,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,18,1,1,1,1,9,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,15,1,1,1,12,11,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,20,1,1,1,6,4,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,35,1,1,1,11,15,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,14,1,1,1,1,18,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,17,1,1,1,1,8,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,4,1,15,1,1,1,2,7,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,48,1,1,1,7,1,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,104,1,1,1,1,12,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,53,1,1,1,8,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,38,1,1,1,2,4,1,6,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,8,1,1,1,3,18,1,8,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,19,1,1,1,3,13,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,6,1,1,1,15,3,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,8,1,1,1,2,55,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,41,1,1,1,6,3,1,6,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,3,1,1,1,2,34,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,1,1,13,1,1,1,1,3,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,3,1,126,1,1,1,5,3,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,15,1,1,1,1,21,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,22,1,1,1,7,28,1,7,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,23,1,1,1,27,1,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,8,1,1,1,1,6,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,15,1,1,1,12,9,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,6,1,1,1,1,22,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,1,1,70,1,1,1,14,4,1,5,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,1,1,1,1,7,40,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,1,1,6,1,1,1,3,2,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,50,1,1,1,5,4,1,10,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,2,1,14,1,1,1,7,2,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,7,1,1,1,4,2,1,7,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,3,1,1,1,1,5,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,14,1,1,1,4,10,1,4,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,9,1,1,1,4,8,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,16,1,1,1,1,23,1,3,0,0,0,1,0,1,1,0,0,1,0,0,0
1,1,1,1,1,12,1,1,1,3,1,1,2,0,0,0,1,0,1,1,0,0,1,0,0,0
