p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,2,1,118,1,30,1,1,1,10,1,1,1
1,1,1,11,1,11,1,1,1,5,1,1,1
1,1,1,1,1,4,1,1,1,2,1,1,1
1,1,1,117,1,117,1,1,1,5,1,1,1
1,3,1,87,1,55,1,1,1,2,1,1,1
1,3,1,40,1,12,1,1,1,1,1,1,1
1,3,1,13,1,13,1,1,1,2,1,1,1
1,1,1,14,1,2,1,1,1,1,1,1,1
1,5,1,10,1,10,1,1,1,3,1,1,1
1,1,1,1,1,6,1,1,1,1,1,1,1
1,3,1,7,1,6,1,1,1,1,1,1,1
1,4,1,5,1,5,1,1,1,1,1,1,1
1,2,1,37,1,18,1,1,1,1,1,1,1
1,3,1,36,1,22,1,1,1,1,1,1,1
1,2,1,71,1,6,1,1,1,7,1,1,1
1,2,1,14,1,14,1,1,1,2,1,1,1
1,3,1,1,1,8,1,1,1,1,1,1,1
1,3,1,73,1,18,1,1,1,7,1,1,1
1,1,1,33,1,33,1,1,1,2,1,1,1
1,1,1,76,1,7,1,1,1,2,1,1,1
1,2,1,174,1,66,1,1,1,6,1,1,1
1,2,1,33,1,24,1,1,1,2,1,1,1
1,3,1,22,1,22,1,1,1,6,1,1,1
1,1,1,57,1,57,1,1,1,3,1,1,1
1,1,1,10,1,10,1,1,1,2,1,1,1
1,1,1,16,1,16,1,1,1,4,1,1,1
1,7,1,120,1,62,1,1,1,12,1,1,1
1,4,1,22,1,22,1,1,1,5,1,1,1
1,4,1,1,1,6,1,1,1,3,1,1,1
1,1,1,11,1,11,1,1,1,5,1,1,1
1,1,1,44,1,12,1,1,1,1,1,1,1
1,1,1,112,1,46,1,1,1,5,1,1,1
1,5,1,40,1,40,1,1,1,2,1,1,1
1,1,1,47,1,47,1,1,1,3,1,1,1
1,1,1,13,1,13,1,1,1,7,1,1,1
1,7,1,14,1,8,1,1,1,1,1,1,1
1,5,1,30,1,16,1,1,1,1,1,1,1
1,2,1,17,1,17,1,1,1,8,1,1,1
1,1,1,15,1,15,1,1,1,4,1,1,1
1,2,1,1,1,1,1,1,1,2,1,1,1
1,1,1,12,1,12,1,1,1,14,1,1,1
1,4,1,36,1,36,1,1,1,1,1,1,1
1,3,1,1,1,2,1,1,1,5,1,1,1
1,2,1,1,1,8,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,1,1,106,1,14,1,1,1,1,1,1,1
1,2,1,26,1,19,1,1,1,2,1,1,1
1,4,1,42,1,36,1,1,1,1,1,1,1
1,2,1,17,1,17,1,1,1,3,1,1,1
1,1,1,67,1,67,1,1,1,5,1,1,1
1,10,1,132,1,26,1,1,1,4,1,1,1
1,1,1,179,1,142,1,1,1,11,1,1,1
1,1,1,11,1,11,1,1,1,3,1,1,1
1,1,1,16,1,8,1,1,1,1,1,1,1
1,3,1,1,1,4,1,1,1,2,1,1,1
1,1,1,98,1,98,1,1,1,2,1,1,1
1,2,1,16,1,16,1,1,1,4,1,1,1
1,4,1,42,1,42,1,1,1,4,1,1,1
1,2,1,1,1,1,1,1,1,2,1,1,1
1,1,1,141,1,23,1,1,1,3,1,1,1
1,1,1,1,1,2,1,1,1,9,1,1,1
1,2,1,17,1,17,1,1,1,4,1,1,1
1,7,1,1,1,2,1,1,1,13,1,1,1
1,3,1,17,1,17,1,1,1,4,1,1,1
1,7,1,20,1,3,1,1,1,1,1,1,1
1,1,1,80,1,65,1,1,1,10,1,1,1
1,2,1,21,1,7,1,1,1,9,1,1,1
1,2,1,106,1,44,1,1,1,3,1,1,1
1,1,1,40,1,40,1,1,1,3,1,1,1
1,1,1,15,1,15,1,1,1,11,1,1,1
1,1,1,9,1,9,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,3,1,1,1
1,1,1,15,1,4,1,1,1,1,1,1,1
1,1,1,16,1,16,1,1,1,2,1,1,1
1,1,1,59,1,59,1,1,1,1,1,1,1
1,1,1,2,1,2,1,1,1,5,1,1,1
1,1,1,76,1,76,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,5,1,1,1
1,3,1,43,1,9,1,1,1,5,1,1,1
1,2,1,1,1,2,1,1,1,5,1,1,1
1,1,1,1,1,1,1,1,1,2,1,1,1
1,4,1,109,1,33,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,1,5,1,1,1
1,1,1,84,1,21,1,1,1,1,1,1,1
1,1,1,91,1,33,1,1,1,1,1,1,1
1,3,1,1,1,1,1,1,1,4,1,1,1
1,3,1,24,1,24,1,1,1,3,1,1,1
1,3,1,8,1,8,1,1,1,4,1,1,1
1,3,1,97,1,97,1,1,1,2,1,1,1
1,1,1,40,1,36,1,1,1,1,1,1,1
1,2,1,18,1,18,1,1,1,2,1,1,1
1,1,1,7,1,7,1,1,1,11,1,1,1
1,6,1,41,1,41,1,1,1,2,1,1,1
1,2,1,20,1,20,1,1,1,12,1,1,1
1,1,1,74,1,74,1,1,1,1,1,1,1
1,2,1,5,1,5,1,1,1,8,1,1,1
1,5,1,49,1,49,1,1,1,1,1,1,1
1,4,1,51,1,51,1,1,1,6,1,1,1
1,1,1,1,1,2,1,1,1,4,1,1,1
1,4,1,12,1,12,1,1,1,8,1,1,1
1,1,1,29,1,18,1,1,1,5,1,1,1
1,4,1,113,1,7,1,1,1,2,1,1,1
1,1,1,39,1,39,1,1,1,15,1,1,1
1,6,1,30,1,12,1,1,1,1,1,1,1
1,2,1,114,1,52,1,1,1,1,1,1,1
1,3,1,18,1,18,1,1,1,2,1,1,1
1,2,1,1,1,4,1,1,1,2,1,1,1
1,1,1,11,1,11,1,1,1,2,1,1,1
1,1,1,21,1,21,1,1,1,5,1,1,1
1,4,1,43,1,43,1,1,1,3,1,1,1
1,3,1,12,1,4,1,1,1,6,1,1,1
1,1,1,79,1,79,1,1,1,1,1,1,1
1,1,1,28,1,28,1,1,1,1,1,1,1
1,1,1,55,1,55,1,1,1,1,1,1,1
1,5,1,27,1,27,1,1,1,2,1,1,1
1,6,1,36,1,36,1,1,1,3,1,1,1
1,3,1,78,1,18,1,1,1,4,1,1,1
1,1,1,26,1,6,1,1,1,1,1,1,1
1,2,1,28,1,28,1,1,1,1,1,1,1
1,8,1,44,1,44,1,1,1,2,1,1,1
1,3,1,23,1,23,1,1,1,1,1,1,1
1,1,1,46,1,11,1,1,1,9,1,1,1
1,1,1,4,1,4,1,1,1,2,1,1,1
1,2,1,1,1,5,1,1,1,1,1,1,1
1,2,1,15,1,15,1,1,1,13,1,1,1
1,3,1,14,1,14,1,1,1,2,1,1,1
1,1,1,13,1,9,1,1,1,23,1,1,1
1,1,1,52,1,4,1,1,1,10,1,1,1
1,1,1,174,1,6,1,1,1,1,1,1,1
1,3,1,30,1,14,1,1,1,4,1,1,1
1,1,1,69,1,18,1,1,1,3,1,1,1
1,3,1,14,1,14,1,1,1,1,1,1,1
1,1,1,47,1,25,1,1,1,8,1,1,1
1,2,1,13,1,6,1,1,1,1,1,1,1
1,10,1,1,1,3,1,1,1,11,1,1,1
1,1,1,28,1,12,1,1,1,3,1,1,1
1,10,1,70,1,68,1,1,1,1,1,1,1
1,8,1,24,1,24,1,1,1,11,1,1,1
1,2,1,200,1,9,1,1,1,1,1,1,1
1,6,1,43,1,9,1,1,1,10,1,1,1
1,1,1,9,1,9,1,1,1,4,1,1,1
1,1,1,1,1,2,1,1,1,6,1,1,1
1,2,1,21,1,21,1,1,1,3,1,1,1
1,2,1,201,1,12,1,1,1,1,1,1,1
1,3,1,26,1,26,1,1,1,7,1,1,1
1,1,1,171,1,19,1,1,1,5,1,1,1
1,1,1,49,1,44,1,1,1,6,1,1,1
1,3,1,1,1,4,1,1,1,3,1,1,1
1,1,1,45,1,19,1,1,1,1,1,1,1
1,2,1,30,1,29,1,1,1,3,1,1,1
1,3,1,1,1,2,1,1,1,3,1,1,1
1,2,1,1,1,2,1,1,1,3,1,1,1
1,2,1,1,1,3,1,1,1,8,1,1,1
1,1,1,49,1,45,1,1,1,1,1,1,1
1,7,1,247,1,79,1,1,1,6,1,1,1
1,1,1,6,1,6,1,1,1,1,1,1,1
1,1,1,22,1,22,1,1,1,8,1,1,1
1,1,1,37,1,37,1,1,1,1,1,1,1
1,3,1,54,1,13,1,1,1,4,1,1,1
1,2,1,11,1,11,1,1,1,1,1,1,1
1,1,1,10,1,10,1,1,1,2,1,1,1
1,5,1,79,1,28,1,1,1,7,1,1,1
1,4,1,68,1,24,1,1,1,4,1,1,1
