p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,1,1,1,56,2,1,1,1,1,1,1,1
1,2,1,73,187,28,3,1,1,1,2,1,1
1,4,4,8,107,8,15,1,1,1,4,1,4
1,8,1,1,99,1,5,1,1,1,8,1,1
1,1,2,1,41,7,4,1,1,1,1,1,2
1,6,1,1,56,10,2,1,1,1,6,1,1
1,1,1,1,201,1,3,1,1,1,1,1,1
1,1,1,59,59,4,4,1,1,1,1,1,1
1,1,1,69,211,17,1,1,1,1,1,1,1
1,2,1,1,94,4,1,1,1,1,2,1,1
1,1,4,1,133,3,5,1,1,1,4,1,4
1,2,1,1,44,6,1,1,1,1,2,1,1
1,2,1,15,107,6,1,1,1,1,2,1,1
1,1,1,30,30,30,1,1,1,1,1,1,1
1,2,1,1,8,2,1,1,1,1,2,1,1
1,1,1,1,319,4,3,1,1,1,1,1,1
1,1,1,1,121,4,1,1,1,1,1,1,1
1,6,3,33,52,4,4,1,1,1,6,1,3
1,2,4,72,142,4,4,1,1,1,2,1,4
1,2,1,43,22,21,4,1,1,1,2,1,1
1,2,3,1,5,5,3,1,1,1,3,1,3
1,1,1,16,51,16,2,1,1,1,1,1,1
1,2,1,192,8,26,1,1,1,1,3,1,1
1,1,1,1,194,2,1,1,1,1,1,1,1
1,3,1,1,81,4,3,1,1,1,3,1,1
1,1,2,1,1,2,5,1,1,1,2,1,2
1,2,1,1,52,1,1,1,1,1,2,1,1
1,1,1,1,48,1,1,1,1,1,1,1,1
1,8,1,1,61,1,2,1,1,1,8,1,1
1,3,1,1,24,14,1,1,1,1,4,1,1
1,2,1,1,35,7,1,1,1,1,2,1,1
1,3,1,100,86,14,3,1,1,1,3,1,1
1,1,1,22,21,4,1,1,1,1,1,1,1
1,1,1,1,216,3,2,1,1,1,1,1,1
1,3,2,35,185,3,7,1,1,1,3,1,2
1,1,1,1,77,6,9,1,1,1,1,1,1
1,1,1,1,55,2,1,1,1,1,1,1,1
1,3,1,9,46,9,1,1,1,1,5,1,1
1,1,1,65,114,6,3,1,1,1,1,1,1
1,3,1,1,44,5,1,1,1,1,3,1,1
1,1,1,1,3,3,1,1,1,1,1,1,1
1,9,1,48,129,13,4,1,1,1,11,1,1
1,2,1,1,6,1,1,1,1,1,2,1,1
1,1,1,1,99,1,2,1,1,1,1,1,1
1,1,1,18,18,17,1,1,1,1,1,1,1
1,2,1,120,25,15,5,1,1,1,2,1,1
1,1,2,51,31,12,9,1,1,1,2,1,2
1,2,2,13,13,13,3,1,1,1,2,1,2
1,1,1,1,58,1,10,1,1,1,1,1,1
1,10,2,1,11,1,2,1,1,1,12,1,2
1,15,1,73,73,16,5,1,1,1,16,1,1
1,1,1,52,134,9,2,1,1,1,1,1,1
1,2,1,1,501,2,1,1,1,1,3,1,1
1,1,1,10,46,10,1,1,1,1,1,1,1
