TCV, , , , , , , , , , , , ,Grammar
p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
1,6,1,1,106,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,40,2,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,10,10,10,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,46,1,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,28,28,10,10,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,67,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,1,132,2,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,70,355,14,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,15,15,11,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,23,2,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,27,4,13,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,50,45,6,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,9,1,21,173,20,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,6,1,25,166,14,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,6,1,1,35,2,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,60,51,18,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,14,47,14,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,86,3,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,75,106,6,6,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,12,12,10,6,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,66,4,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,4,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,49,15,11,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,45,45,8,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,3,1,46,2,5,1,1,1,2,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0
1,14,1,1,54,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,32,7,8,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,1,130,4,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,18,317,12,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,54,54,11,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,56,120,16,4,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,2,60,130,4,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,46,46,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,34,34,12,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,1,238,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,33,33,12,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,57,2,3,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,9,6,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,36,67,6,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,61,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,36,163,4,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,204,8,5,2,1,1,1,2,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,1,25,3,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,41,41,10,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,6,1,27,27,6,6,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,94,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,2,30,24,7,4,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,98,4,4,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,1,24,3,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,1,1,1,6,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,35,4,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,7,1,68,68,7,5,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,20,20,3,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,1,153,6,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,7,1,62,131,15,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,5,1,31,60,21,6,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,5,1,1,95,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,62,62,7,7,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,2,63,63,2,2,1,1,1,5,1,2,0,1,1,0,1,1,0,0,0,0,0,0,0
1,5,1,1,18,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,90,3,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,60,99,17,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,35,32,18,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,8,1,24,8,10,10,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,2,34,17,3,3,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,152,2,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,21,4,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,1,9,4,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,20,46,9,6,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,27,2,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,100,1,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,24,57,19,3,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,5,1,2,2,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,58,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,56,84,9,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,58,115,13,11,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,16,8,16,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,37,37,9,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,5,1,1,109,8,5,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,5,2,3,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,79,144,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,91,203,8,4,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,47,4,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,4,1,17,20,17,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,159,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,1,104,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,72,181,5,5,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,35,107,12,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,2,51,58,24,9,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,291,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,4,19,292,4,9,1,1,1,1,1,4,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,62,44,19,10,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,2,1,43,3,3,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,3,1,1,15,1,2,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,3,1,165,118,30,1,1,1,1,4,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0
1,1,1,9,5,9,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,2,1,1,32,5,2,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,11,35,7,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
1,5,2,5,5,5,6,1,1,1,1,1,2,0,1,1,0,1,1,0,0,0,0,1,0,0
1,1,1,12,3,12,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0
