 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,0,0,0,0,0,0,5,0,0,2,4,0
eChild #2,0,0,0,0,0,0,0,35,0,0,0,47,0
eChild #3,0,0,0,0,0,0,0,6,0,0,6,10,0
eChild #4,0,0,0,3,0,0,0,1,0,0,9,10,0
eChild #5,0,0,0,0,0,0,0,5,0,0,17,2,0
eChild #6,0,0,0,0,0,0,0,13,0,0,15,17,0
eChild #7,0,0,0,0,0,0,0,11,0,0,5,4,0
eChild #8,0,0,0,0,0,0,0,2,0,0,2,7,0
eChild #9,0,0,0,0,0,0,0,19,0,0,2,25,0
eChild #10,0,0,0,1,0,0,0,2,0,0,4,10,0
eChild #11,0,0,0,0,0,0,0,9,0,0,3,2,0
eChild #12,0,0,0,0,0,0,0,33,0,0,0,23,0
eChild #13,0,0,0,0,0,0,0,19,0,0,1,10,0
eChild #14,0,0,0,2,0,0,0,25,0,0,26,3,0
eChild #15,0,0,0,0,0,0,0,14,0,0,4,10,0
eChild #16,0,0,0,0,0,0,0,4,0,0,0,1,0
eChild #17,0,0,0,1,0,0,0,1,0,0,1,9,0
eChild #18,0,0,0,1,0,0,0,9,0,0,28,14,0
eChild #19,0,0,0,0,0,0,0,2,0,0,2,0,0
eChild #20,0,0,0,0,0,0,0,5,0,0,1,0,0
eChild #21,0,0,0,0,0,0,0,5,0,0,17,33,0
eChild #22,0,0,0,0,0,0,0,19,0,0,13,19,0
eChild #23,0,0,0,4,0,0,0,18,0,0,12,21,0
eChild #24,0,0,0,0,0,0,0,6,0,0,0,13,0
eChild #25,0,0,0,0,0,0,0,6,0,0,19,0,0
eChild #26,0,0,0,0,0,0,0,0,0,0,8,22,0
eChild #27,0,0,0,0,0,0,0,23,0,0,10,2,0
eChild #28,0,0,0,0,0,0,0,2,0,0,1,8,0
eChild #29,0,0,0,2,0,0,0,4,0,0,4,38,0
eChild #30,0,0,0,0,0,0,0,8,0,0,7,0,0
eChild #31,0,0,0,2,0,0,0,8,0,0,2,6,0
eChild #32,0,0,0,2,0,0,0,13,0,0,11,5,0
eChild #33,0,0,0,0,0,0,0,21,0,0,9,6,0
eChild #34,0,0,0,0,0,0,0,2,0,0,9,6,0
eChild #35,0,0,0,2,0,0,0,0,0,0,12,6,0
eChild #36,0,0,0,0,0,0,0,13,0,0,5,6,0
eChild #37,0,0,0,0,0,0,0,0,0,0,0,23,0
eChild #38,0,0,0,1,0,0,0,7,0,0,9,22,0
eChild #39,0,0,0,1,0,0,0,16,0,0,2,1,0
eChild #40,0,0,0,0,0,0,0,11,0,0,11,16,0
eChild #41,0,0,0,1,0,0,0,22,0,0,14,7,0
eChild #42,0,0,0,0,0,0,0,7,0,0,7,26,0
eChild #43,0,0,0,0,0,0,0,9,0,0,0,13,0
eChild #44,0,0,0,0,0,0,0,29,0,0,9,6,0
eChild #45,0,0,0,0,0,0,0,3,0,0,3,0,0
eChild #46,0,0,0,0,0,0,0,23,0,0,2,22,0
eChild #47,0,0,0,0,0,0,0,25,0,0,22,17,0
eChild #48,0,0,0,0,0,0,0,4,0,0,4,1,0
eChild #49,0,0,0,1,0,0,0,4,0,0,1,9,0
eChild #50,0,0,0,0,0,0,0,20,0,0,8,0,0
eChild #51,0,0,0,0,0,0,0,1,0,0,0,25,0
eChild #52,0,0,0,0,0,0,0,1,0,0,5,6,0
eChild #53,0,0,0,0,0,0,0,6,0,0,0,4,0
eChild #54,0,0,0,0,0,0,0,6,0,0,6,12,0
eChild #55,0,0,0,2,0,0,0,8,0,0,19,2,0
eChild #56,0,0,0,0,0,0,0,2,0,0,14,0,0
