 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,0,0,0,0,0,0,0,0,2,8,0,7
eChild #2,0,0,0,0,0,0,0,0,0,13,15,0,7
eChild #3,0,0,0,1,0,0,0,0,0,11,2,0,0
eChild #4,0,0,0,0,0,0,0,0,0,2,29,0,2
eChild #5,0,0,0,1,0,0,0,0,0,0,14,0,0
eChild #6,0,0,0,1,0,0,0,0,0,2,3,0,0
eChild #7,0,0,0,1,0,0,0,0,0,1,7,0,0
eChild #8,0,0,0,0,0,0,0,0,0,1,14,0,1
eChild #9,0,0,0,0,0,0,0,0,0,0,13,0,3
eChild #10,0,0,0,4,0,0,0,0,0,1,5,0,0
eChild #11,0,0,0,0,0,0,0,0,0,1,0,0,2
eChild #12,0,0,0,2,0,0,0,0,0,3,4,0,3
eChild #13,0,0,0,0,0,0,0,0,0,0,1,0,2
eChild #14,0,0,0,1,0,0,0,0,0,10,6,0,0
eChild #15,0,0,0,0,0,0,0,0,0,6,9,0,2
eChild #16,0,0,0,0,0,0,0,0,0,1,2,0,4
eChild #17,0,0,0,1,0,0,0,0,0,6,4,0,0
eChild #18,0,0,0,0,0,0,0,0,0,5,9,0,11
eChild #19,0,0,0,0,0,0,0,0,0,6,3,0,7
eChild #20,0,0,0,2,0,0,0,0,0,11,32,0,0
eChild #21,0,0,0,1,0,0,0,0,0,2,8,0,0
eChild #22,0,0,0,3,0,0,0,0,0,3,1,0,2
eChild #23,0,0,0,2,0,0,0,0,0,0,6,0,0
eChild #24,0,0,0,0,0,0,0,0,0,0,4,0,1
eChild #25,0,0,0,0,0,0,0,0,0,2,14,0,4
eChild #26,0,0,0,0,0,0,0,0,0,2,0,0,7
eChild #27,0,0,0,0,0,0,0,0,0,3,8,0,4
eChild #28,0,0,0,0,0,0,0,0,0,3,43,0,1
eChild #29,0,0,0,1,0,0,0,0,0,0,19,0,0
eChild #30,0,0,0,0,0,0,0,0,0,0,14,0,4
eChild #31,0,0,0,1,0,0,0,0,0,3,0,0,3
eChild #32,0,0,0,2,0,0,0,0,0,1,6,0,0
eChild #33,0,0,0,0,0,0,0,0,0,8,11,0,1
eChild #34,0,0,0,1,0,0,0,0,0,0,3,0,5
eChild #35,0,0,0,1,0,0,0,0,0,0,6,0,0
eChild #36,0,0,0,3,0,0,0,0,0,5,16,0,0
eChild #37,0,0,0,1,0,0,0,0,0,1,5,0,2
