 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,1,0,53,0,53,0,0,0,0,0,0,0
eChild #2,0,1,0,14,0,14,0,0,0,2,0,0,0
eChild #3,0,0,0,27,0,27,0,0,0,3,0,0,0
eChild #4,0,0,0,32,0,32,0,0,0,6,0,0,0
eChild #5,0,0,0,0,0,2,0,0,0,11,0,0,0
eChild #6,0,1,0,0,0,2,0,0,0,1,0,0,0
eChild #7,0,2,0,124,0,124,0,0,0,0,0,0,0
eChild #8,0,1,0,59,0,59,0,0,0,3,0,0,0
eChild #9,0,1,0,57,0,57,0,0,0,1,0,0,0
eChild #10,0,0,0,54,0,54,0,0,0,0,0,0,0
eChild #11,0,2,0,28,0,28,0,0,0,0,0,0,0
eChild #12,0,3,0,0,0,1,0,0,0,5,0,0,0
eChild #13,0,0,0,163,0,163,0,0,0,0,0,0,0
eChild #14,0,0,0,29,0,29,0,0,0,3,0,0,0
eChild #15,0,0,0,16,0,16,0,0,0,0,0,0,0
eChild #16,0,0,0,49,0,49,0,0,0,1,0,0,0
eChild #17,0,0,0,51,0,51,0,0,0,0,0,0,0
eChild #18,0,2,0,11,0,11,0,0,0,4,0,0,0
eChild #19,0,0,0,71,0,71,0,0,0,1,0,0,0
eChild #20,0,1,0,4,0,4,0,0,0,3,0,0,0
eChild #21,0,0,0,35,0,35,0,0,0,0,0,0,0
eChild #22,0,0,0,14,0,14,0,0,0,1,0,0,0
eChild #23,0,1,0,177,0,177,0,0,0,1,0,0,0
eChild #24,0,4,0,62,0,62,0,0,0,0,0,0,0
eChild #25,0,0,0,47,0,47,0,0,0,1,0,0,0
eChild #26,0,0,0,45,0,45,0,0,0,5,0,0,0
eChild #27,0,0,0,15,0,15,0,0,0,4,0,0,0
eChild #28,0,0,0,33,0,33,0,0,0,1,0,0,0
eChild #29,0,1,0,39,0,39,0,0,0,19,0,0,0
eChild #30,0,0,0,15,0,15,0,0,0,3,0,0,0
eChild #31,0,0,0,32,0,32,0,0,0,3,0,0,0
eChild #32,0,4,0,24,0,24,0,0,0,2,0,0,0
eChild #33,0,1,0,132,0,132,0,0,0,4,0,0,0
eChild #34,0,5,0,11,0,11,0,0,0,5,0,0,0
eChild #35,0,2,0,100,0,100,0,0,0,1,0,0,0
eChild #36,0,4,0,53,0,53,0,0,0,2,0,0,0
eChild #37,0,3,0,29,0,29,0,0,0,4,0,0,0
eChild #38,0,0,0,103,0,103,0,0,0,8,0,0,0
eChild #39,0,8,0,167,0,167,0,0,0,0,0,0,0
eChild #40,0,1,0,24,0,24,0,0,0,2,0,0,0
eChild #41,0,4,0,0,0,2,0,0,0,3,0,0,0
eChild #42,0,6,0,44,0,44,0,0,0,9,0,0,0
eChild #43,0,1,0,4,0,4,0,0,0,8,0,0,0
