 observation,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13
eChild #1,0,0,1,0,22,0,2,0,3,0,1,0,1
eChild #2,0,0,0,1,29,0,0,0,0,0,0,0,0
eChild #3,0,2,0,2,5,0,0,0,0,0,3,0,0
eChild #4,0,0,0,1,14,0,8,0,0,0,0,0,0
eChild #5,0,1,1,0,160,0,1,0,0,0,1,0,1
eChild #6,0,6,3,0,141,0,3,0,4,0,6,0,3
eChild #7,0,4,0,12,17,0,0,0,1,0,4,0,0
eChild #8,0,1,0,4,110,0,2,0,4,0,1,0,0
eChild #9,0,0,0,4,164,0,1,0,0,0,0,0,0
eChild #10,0,3,0,4,35,0,2,0,0,0,3,0,0
eChild #11,0,0,0,8,137,0,0,0,0,0,0,0,0
eChild #12,0,1,0,1,71,0,0,0,0,0,2,0,0
eChild #13,0,2,0,1,87,0,6,0,1,0,2,0,0
eChild #14,0,0,0,4,766,0,2,0,0,0,0,0,0
eChild #15,0,0,0,2,152,0,1,0,1,0,0,0,0
eChild #16,0,0,0,1,89,0,2,0,0,0,0,0,0
eChild #17,0,2,1,0,168,0,2,0,0,0,2,0,1
eChild #18,0,2,0,5,199,0,0,0,0,0,2,0,0
eChild #19,0,2,0,2,9,0,0,0,0,0,3,0,0
eChild #20,0,0,0,2,54,0,0,0,0,0,0,0,0
eChild #21,0,2,0,3,14,0,0,0,0,0,2,0,0
eChild #22,0,4,1,0,24,0,1,0,0,0,4,0,1
eChild #23,0,0,1,4,71,0,1,0,3,0,1,0,1
eChild #24,0,2,0,9,39,0,0,0,0,0,2,0,0
eChild #25,0,0,0,13,51,0,0,0,1,0,0,0,0
eChild #26,0,2,0,7,168,0,0,0,0,0,2,0,0
eChild #27,0,1,0,1,73,0,0,0,0,0,2,0,0
eChild #28,0,3,1,0,3,0,2,0,2,0,5,0,1
eChild #29,0,0,0,10,82,0,3,0,0,0,0,0,0
eChild #30,0,0,0,2,92,0,4,0,6,0,0,0,0
eChild #31,0,0,1,2,19,0,7,0,1,0,1,0,1
eChild #32,0,1,3,0,1,0,5,0,0,0,2,0,3
eChild #33,0,1,1,10,113,0,2,0,1,0,1,0,1
eChild #34,0,0,0,4,20,0,0,0,0,0,0,0,0
eChild #35,0,1,0,2,161,0,1,0,0,0,1,0,0
eChild #36,0,1,0,3,119,0,0,0,0,0,1,0,0
eChild #37,0,0,0,3,8,0,0,0,0,0,0,0,0
eChild #38,0,0,1,0,0,0,1,0,0,0,1,0,1
eChild #39,0,4,0,1,379,0,4,0,1,0,4,0,0
eChild #40,0,2,2,0,30,0,2,0,2,0,2,0,2
eChild #41,0,0,1,2,45,0,3,0,2,0,1,0,1
eChild #42,0,1,2,0,5,0,4,0,1,0,2,0,2
eChild #43,0,0,0,2,9,0,1,0,0,0,0,0,0
eChild #44,0,0,1,5,20,0,2,0,2,0,1,0,1
eChild #45,0,0,0,3,119,0,0,0,2,0,0,0,0
eChild #46,0,2,0,2,83,0,1,0,0,0,3,0,0
eChild #47,0,0,0,3,102,0,9,0,0,0,0,0,0
eChild #48,0,0,0,18,50,0,1,0,0,0,0,0,0
eChild #49,0,1,0,1,1,0,0,0,0,0,2,0,0
eChild #50,0,1,0,7,14,0,0,0,0,0,1,0,0
eChild #51,0,2,0,1,8,0,3,0,3,0,2,0,0
eChild #52,0,1,0,3,5,0,1,0,0,0,1,0,0
eChild #53,0,0,0,3,121,0,1,0,0,0,0,0,0
eChild #54,0,1,0,7,148,0,0,0,0,0,1,0,0
eChild #55,0,2,2,0,75,0,2,0,0,0,2,0,2
eChild #56,0,1,0,5,99,0,6,0,1,0,1,0,0
eChild #57,0,6,2,0,12,0,2,0,0,0,6,0,2
eChild #58,0,0,0,9,30,0,0,0,0,0,0,0,0
eChild #59,0,2,0,5,84,0,0,0,1,0,2,0,0
eChild #60,0,1,0,8,308,0,0,0,5,0,1,0,0
eChild #61,0,0,0,3,145,0,0,0,0,0,0,0,0
eChild #62,0,2,0,5,166,0,0,0,0,0,2,0,0
eChild #63,0,3,1,0,22,0,1,0,0,0,3,0,1
eChild #64,0,2,0,1,18,0,0,0,0,0,2,0,0
eChild #65,0,0,0,5,61,0,0,0,0,0,0,0,0
eChild #66,0,0,0,7,118,0,2,0,0,0,0,0,0
eChild #67,0,3,0,6,50,0,0,0,0,0,3,0,0
eChild #68,0,1,0,1,1,0,0,0,1,0,2,0,0
eChild #69,0,0,0,2,46,0,0,0,1,0,0,0,0
eChild #70,0,0,0,1,52,0,0,0,0,0,0,0,0
eChild #71,0,1,1,0,27,0,2,0,0,0,1,0,1
eChild #72,0,2,0,4,330,0,2,0,0,0,2,0,0
eChild #73,0,5,0,6,670,0,0,0,0,0,5,0,0
eChild #74,0,2,0,5,22,0,1,0,0,0,2,0,0
eChild #75,0,0,2,0,334,0,5,0,2,0,1,0,2
eChild #76,0,1,0,3,23,0,7,0,1,0,1,0,0
eChild #77,0,0,0,2,278,0,0,0,0,0,0,0,0
eChild #78,0,0,0,8,62,0,4,0,1,0,0,0,0
eChild #79,0,1,0,9,60,0,0,0,3,0,2,0,0
eChild #80,0,13,0,8,58,0,2,0,1,0,13,0,0
eChild #81,0,2,2,0,189,0,2,0,0,0,2,0,2
eChild #82,0,1,0,3,49,0,1,0,1,0,1,0,0
eChild #83,0,1,0,2,7,0,1,0,0,0,1,0,0
eChild #84,0,18,1,0,184,0,1,0,0,0,18,0,1
eChild #85,0,2,0,5,259,0,2,0,0,0,2,0,0
eChild #86,0,0,0,4,99,0,1,0,0,0,0,0,0
eChild #87,0,1,0,14,20,0,0,0,0,0,1,0,0
eChild #88,0,0,0,1,144,0,2,0,1,0,0,0,0
eChild #89,0,7,0,1,58,0,2,0,0,0,7,0,0
eChild #90,0,1,0,1,23,0,2,0,2,0,2,0,0
eChild #91,0,0,1,0,26,0,3,0,0,0,0,0,1
eChild #92,0,1,1,0,18,0,1,0,0,0,1,0,1
eChild #93,0,1,0,1,138,0,0,0,1,0,2,0,0
eChild #94,0,3,0,3,128,0,0,0,2,0,4,0,0
eChild #95,0,2,0,5,98,0,0,0,0,0,2,0,0
eChild #96,0,2,0,1,102,0,0,0,0,0,2,0,0
eChild #97,0,0,0,4,32,0,2,0,0,0,0,0,0
eChild #98,0,1,0,2,24,0,0,0,0,0,1,0,0
eChild #99,0,3,0,7,14,0,0,0,0,0,4,0,0
eChild #100,0,1,0,9,132,0,0,0,0,0,1,0,0
eChild #101,0,0,0,1,133,0,0,0,0,0,0,0,0
eChild #102,0,0,0,11,212,0,3,0,1,0,0,0,0
eChild #103,0,0,0,1,73,0,2,0,0,0,0,0,0
eChild #104,0,0,0,9,44,0,2,0,0,0,0,0,0
eChild #105,0,0,1,0,4,0,5,0,0,0,1,0,1
eChild #106,0,1,0,2,34,0,0,0,1,0,1,0,0
eChild #107,0,0,0,3,75,0,0,0,0,0,0,0,0
eChild #108,0,1,0,1,9,0,0,0,0,0,2,0,0
eChild #109,0,2,0,5,193,0,1,0,1,0,2,0,0
eChild #110,0,0,0,1,28,0,2,0,2,0,0,0,0
eChild #111,0,0,0,15,25,0,3,0,2,0,0,0,0
eChild #112,0,0,1,0,191,0,1,0,0,0,1,0,1
eChild #113,0,0,0,1,41,0,0,0,0,0,0,0,0
eChild #114,0,1,0,4,4,0,3,0,0,0,1,0,0
eChild #115,0,0,0,1,290,0,2,0,0,0,0,0,0
eChild #116,0,3,1,0,95,0,2,0,1,0,3,0,1
eChild #117,0,5,0,2,14,0,3,0,0,0,5,0,0
eChild #118,0,0,0,11,15,0,0,0,0,0,0,0,0
eChild #119,0,1,0,7,7,0,0,0,0,0,1,0,0
eChild #120,0,2,0,13,335,0,4,0,1,0,2,0,0
eChild #121,0,1,0,1,24,0,0,0,0,0,2,0,0
eChild #122,0,3,1,0,93,0,1,0,0,0,3,0,1
eChild #123,0,0,0,2,483,0,1,0,1,0,0,0,0
eChild #124,0,1,0,7,61,0,0,0,0,0,1,0,0
eChild #125,0,4,3,0,33,0,3,0,0,0,6,0,3
eChild #126,0,0,0,11,25,0,1,0,0,0,0,0,0
eChild #127,0,3,0,2,120,0,0,0,0,0,5,0,0
eChild #128,0,0,1,0,77,0,3,0,1,0,1,0,1
eChild #129,0,1,0,5,306,0,1,0,0,0,1,0,0
eChild #130,0,2,2,0,222,0,3,0,0,0,2,0,2
eChild #131,0,7,0,3,68,0,2,0,0,0,8,0,0
eChild #132,0,2,0,5,26,0,1,0,0,0,2,0,0
eChild #133,0,0,0,1,109,0,0,0,0,0,0,0,0
eChild #134,0,4,1,0,111,0,2,0,0,0,4,0,1
eChild #135,0,3,0,2,407,0,0,0,0,0,3,0,0
eChild #136,0,3,0,1,29,0,0,0,1,0,3,0,0
eChild #137,0,0,0,5,73,0,2,0,0,0,0,0,0
eChild #138,0,3,2,0,95,0,2,0,0,0,3,0,2
eChild #139,0,0,0,5,237,0,3,0,1,0,0,0,0
eChild #140,0,1,0,4,8,0,0,0,0,0,2,0,0
eChild #141,0,1,1,0,105,0,3,0,0,0,1,0,1
eChild #142,0,0,0,12,84,0,1,0,0,0,0,0,0
eChild #143,0,3,1,3,3,0,5,0,1,0,4,0,1
eChild #144,0,0,0,17,165,0,2,0,0,0,0,0,0
eChild #145,0,3,0,7,47,0,0,0,0,0,3,0,0
eChild #146,0,0,1,0,14,0,1,0,0,0,1,0,1
eChild #147,0,1,0,7,130,0,1,0,0,0,1,0,0
eChild #148,0,1,0,1,1,0,0,0,0,0,2,0,0
eChild #149,0,0,0,2,7,0,4,0,0,0,0,0,0
eChild #150,0,0,0,1,1,0,5,0,1,0,0,0,0
eChild #151,0,0,0,3,32,0,2,0,2,0,0,0,0
eChild #152,0,0,0,4,22,0,0,0,0,0,0,0,0
eChild #153,0,0,0,2,28,0,15,0,2,0,0,0,0
eChild #154,0,1,1,0,271,0,1,0,0,0,1,0,1
eChild #155,0,3,0,7,106,0,0,0,0,0,3,0,0
eChild #156,0,1,0,4,114,0,3,0,1,0,1,0,0
eChild #157,0,2,0,1,96,0,2,0,2,0,2,0,0
eChild #158,0,0,0,1,79,0,0,0,2,0,0,0,0
eChild #159,0,0,0,2,38,0,1,0,0,0,0,0,0
eChild #160,0,1,1,0,174,0,1,0,0,0,1,0,1
eChild #161,0,6,0,2,273,0,0,0,1,0,7,0,0
eChild #162,0,0,0,12,25,0,1,0,1,0,0,0,0
eChild #163,0,0,1,0,139,0,1,0,0,0,1,0,1
eChild #164,0,1,0,15,206,0,1,0,5,0,1,0,0
eChild #165,0,1,0,3,104,0,2,0,0,0,1,0,0
eChild #166,0,0,0,5,104,0,0,0,0,0,0,0,0
eChild #167,0,1,0,5,267,0,0,0,0,0,1,0,0
eChild #168,0,0,0,3,13,0,2,0,0,0,0,0,0
eChild #169,0,1,0,1,37,0,8,0,1,0,2,0,0
eChild #170,0,0,1,0,251,0,7,0,0,0,1,0,1
eChild #171,0,0,0,2,224,0,0,0,0,0,0,0,0
eChild #172,0,3,2,0,327,0,2,0,1,0,3,0,2
eChild #173,0,0,0,1,58,0,2,0,1,0,0,0,0
eChild #174,0,0,0,3,256,0,0,0,0,0,0,0,0
eChild #175,0,2,0,4,58,0,1,0,2,0,2,0,0
eChild #176,0,1,0,16,45,0,0,0,0,0,1,0,0
eChild #177,0,2,0,9,135,0,5,0,0,0,2,0,0
eChild #178,0,0,0,1,193,0,7,0,0,0,0,0,0
eChild #179,0,1,0,15,119,0,4,0,1,0,1,0,0
eChild #180,0,1,0,5,91,0,0,0,2,0,1,0,0
eChild #181,0,2,1,0,46,0,1,0,1,0,2,0,1
eChild #182,0,0,1,0,123,0,1,0,0,0,1,0,1
eChild #183,0,2,0,3,101,0,2,0,0,0,2,0,0
eChild #184,0,5,0,3,10,0,1,0,1,0,8,0,0
eChild #185,0,2,0,4,84,0,1,0,1,0,2,0,0
eChild #186,0,6,0,1,324,0,0,0,1,0,6,0,0
eChild #187,0,1,1,0,477,0,1,0,1,0,1,0,1
eChild #188,0,0,0,4,129,0,1,0,0,0,0,0,0
eChild #189,0,1,0,4,295,0,0,0,0,0,1,0,0
eChild #190,0,1,0,6,33,0,0,0,0,0,1,0,0
eChild #191,0,0,0,2,29,0,6,0,0,0,0,0,0
eChild #192,0,3,1,0,170,0,1,0,0,0,3,0,1
eChild #193,0,0,0,1,104,0,2,0,1,0,0,0,0
eChild #194,0,0,0,1,139,0,2,0,1,0,0,0,0
eChild #195,0,0,1,4,108,0,2,0,1,0,1,0,1
eChild #196,0,0,1,4,46,0,1,0,1,0,1,0,1
eChild #197,0,0,0,6,316,0,0,0,0,0,0,0,0
eChild #198,0,1,0,2,143,0,1,0,0,0,1,0,0
eChild #199,0,2,2,0,98,0,5,0,0,0,2,0,2
eChild #200,0,0,0,4,126,0,1,0,0,0,0,0,0
eChild #201,0,0,0,9,10,0,1,0,1,0,0,0,0
eChild #202,0,1,0,2,120,0,0,0,0,0,1,0,0
eChild #203,0,0,0,5,54,0,0,0,0,0,0,0,0
eChild #204,0,1,1,0,10,0,1,0,0,0,1,0,1
eChild #205,0,0,1,0,34,0,1,0,1,0,1,0,1
eChild #206,0,2,0,2,53,0,0,0,1,0,3,0,0
eChild #207,0,2,0,7,12,0,8,0,1,0,2,0,0
eChild #208,0,2,0,12,127,0,0,0,0,0,2,0,0
eChild #209,0,1,0,4,85,0,0,0,0,0,1,0,0
eChild #210,0,0,0,2,11,0,0,0,0,0,0,0,0
eChild #211,0,0,0,4,79,0,2,0,0,0,0,0,0
eChild #212,0,0,0,1,845,0,0,0,4,0,0,0,0
eChild #213,0,3,0,1,133,0,7,0,0,0,3,0,0
